lead_a,lead_b,confidence,explanation
100236830,100236831,0.98,same phone number; same email; very similar name; very similar company
100236386,100236387,0.97,same phone number; same email; very similar name; very similar company
100235156,100235157,0.97,same phone number; same email; very similar name
100235219,100235220,0.97,same phone number; same email; very similar name
100235413,100235414,0.97,same phone number; same email; very similar name
100235599,100235600,0.97,same phone number; same email; very similar name
100236426,100236427,0.97,same phone number; same email; very similar name
100234963,100234964,0.97,same phone number; same email; very similar name
100235821,100235822,0.97,same phone number; same email; very similar name
100235704,100235705,0.96,same phone number; same email; very similar name
100236597,100236598,0.96,same phone number; same email; very similar name
100236602,100236603,0.96,same phone number; same email; very similar name
100235855,100235857,0.96,same phone number; same email; very similar name
100236250,100236251,0.96,same phone number; same email; very similar name
100236338,100236339,0.96,same phone number; same email; very similar company
100235761,100235762,0.96,same phone number; same email; very similar name
100235233,100235234,0.96,same phone number; same email; very similar name
100235994,100235995,0.95,same phone number; same email; very similar name
100236327,100236328,0.95,same phone number; same email; very similar name
100235870,100235871,0.95,same phone number; same email; very similar name
100235261,100235262,0.95,same phone number; same email; very similar name
100236278,100236279,0.95,same phone number; same email; very similar name
100235213,100235214,0.95,same phone number; same email; very similar name
100234993,100234994,0.95,same phone number; same email; very similar name
100234871,100234872,0.95,same phone number; same email; very similar name
100236588,100236589,0.95,same phone number; same email; very similar name
100236405,100236406,0.95,same phone number; same email; very similar name
100235391,100235392,0.95,same phone number; same email; very similar name
100234907,100234908,0.94,same phone number; same email; very similar name
100235951,100235952,0.94,same phone number; same email; very similar name
100236661,100236662,0.94,same phone number; same email; very similar name
100235808,100235809,0.94,same phone number; same email; very similar name
100235021,100235022,0.94,same phone number; same email; very similar name
100236797,100236798,0.94,same phone number; same email; very similar name
100235850,100235851,0.94,same phone number; same email; very similar company
100235898,100235900,0.94,same phone number; same email; very similar name
100236108,100236109,0.93,same phone number; same email; very similar name
100234995,100234996,0.93,same phone number; same email
100234834,100234835,0.93,same phone number; same email
100235479,100235480,0.93,same phone number; same email; very similar name
100235551,100235552,0.93,same phone number; same email; very similar name
100235966,100235968,0.93,same phone number; same email; very similar name
100235129,100235130,0.92,same phone number; same email
100236382,100236383,0.92,same phone number; same email; very similar name
100234854,100234855,0.92,same phone number; same email; very similar name
100234966,100234968,0.92,same phone number; same email
100235756,100235758,0.92,same phone number; same email
100235406,100235407,0.92,same phone number; same email; very similar name
100235660,100235661,0.92,same phone number; same email; very similar name
100236432,100236433,0.92,same phone number; same email
100235193,100235194,0.91,same phone number; same email
100236127,100236128,0.91,same phone number; same email
100235394,100235395,0.91,same phone number; same email
100236037,100236038,0.91,same phone number; same email
100234921,100234922,0.9,same phone number; same email
100236079,100236080,0.9,same phone number; same email
100236391,100236392,0.89,same phone number; same email
100236129,100236130,0.88,same phone number; same email
100236371,100236372,0.65,same phone number; very similar name; very similar company
100235641,100235643,0.64,same phone number; very similar name; very similar company
100235756,100235757,0.64,same phone number; very similar name; very similar company
100236431,100236432,0.64,same phone number; very similar name; very similar company
100236747,100236748,0.63,same phone number; very similar name; very similar company
100235829,100235830,0.63,same phone number; very similar name; very similar company
100236541,100236542,0.63,same phone number; very similar name; very similar company
100235408,100235409,0.63,same phone number; very similar name; very similar company
100236746,100236748,0.63,same phone number; very similar name; very similar company
100236026,100236027,0.63,same phone number; very similar name; very similar company
100236210,100236211,0.63,same phone number; very similar name; very similar company
100235573,100235574,0.63,same phone number; very similar name; very similar company
100235869,100235871,0.63,same phone number; very similar name; very similar company
100236746,100236747,0.62,same phone number; very similar name; very similar company
100235856,100235857,0.62,same phone number; very similar name
